t, pos_x, pos_z, pos_x_ref, pos_z_ref, vel_x, vel_z, z_vel
0.001000, -0.000000, -0.480000, 0.000000, -0.480000, 0.753982, 0.039731, 0.000000
0.002000, 0.000033, -0.480005, 0.000000, -0.480000, 0.754020, 0.039773, 0.015746
0.003000, 0.000042, -0.480009, 0.000000, -0.480000, 0.754035, 0.039779, 0.005926
0.004000, 0.000042, -0.480016, 0.000000, -0.480000, 0.754045, 0.039765, -0.003847
0.005000, 0.000036, -0.480024, 0.000000, -0.480000, 0.754053, 0.039742, -0.013638
0.006000, 0.000031, -0.480031, 0.000000, -0.480000, 0.754059, 0.039718, -0.023459
0.007000, 0.000028, -0.480037, 0.000000, -0.480000, 0.754066, 0.039702, -0.033299
0.008000, 0.000029, -0.480041, 0.000000, -0.480000, 0.754074, 0.039694, -0.043141
0.009000, 0.000032, -0.480045, 0.000000, -0.480000, 0.754082, 0.039693, -0.052966
0.010000, 0.000036, -0.480047, 0.000000, -0.480000, 0.754090, 0.039694, -0.062766
0.011000, 0.000039, -0.480050, 0.000000, -0.480000, 0.754097, 0.039695, -0.072541
0.012000, 0.000042, -0.480052, 0.000000, -0.480000, 0.754103, 0.039693, -0.082296
0.013000, 0.000042, -0.480055, 0.000000, -0.480000, 0.754108, 0.039689, -0.092037
0.014000, 0.000042, -0.480058, 0.000000, -0.480000, 0.754112, 0.039683, -0.101771
0.015000, 0.000042, -0.480061, 0.000000, -0.480000, 0.754116, 0.039677, -0.111498
0.016000, 0.000042, -0.480063, 0.000000, -0.480000, 0.754119, 0.039672, -0.121220
0.017000, 0.000042, -0.480065, 0.000000, -0.480000, 0.754123, 0.039669, -0.130933
0.018000, 0.000043, -0.480067, 0.000000, -0.480000, 0.754126, 0.039667, -0.140635
0.019000, 0.000043, -0.480068, 0.000000, -0.480000, 0.754129, 0.039665, -0.150324
0.020000, 0.000044, -0.480069, 0.000000, -0.480000, 0.754131, 0.039663, -0.160002
0.021000, 0.000044, -0.480071, 0.000000, -0.480000, 0.754134, 0.039661, -0.169668
0.022000, 0.000044, -0.480072, 0.000000, -0.480000, 0.754136, 0.039659, -0.179323
0.023000, 0.000044, -0.480073, 0.000000, -0.480000, 0.754137, 0.039657, -0.188968
0.024000, 0.000044, -0.480074, 0.000000, -0.480000, 0.754139, 0.039655, -0.198604
0.025000, 0.000044, -0.480075, 0.000000, -0.480000, 0.754140, 0.039653, -0.208231
0.026000, 0.000044, -0.480076, 0.000000, -0.480000, 0.754142, 0.039652, -0.217848
0.027000, 0.000044, -0.480076, 0.000000, -0.480000, 0.754143, 0.039650, -0.227455
